"Replica","Seed","TotalRequests","TotalSuitcases","Delivered","Undelivered","LateSuitcases","TotalDelay","CapacityOverflow","WarehouseOverflow","Fitness","Semaphore","IterationsRun","Improvements","ExecutionTime"
"22","22","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","3","3","229354 ms"
"23","23","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","4","6","300428 ms"
"24","24","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","4","69911 ms"
"25","25","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","4","71003 ms"
"26","26","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","6","7","433948 ms"
"27","27","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","4","73056 ms"
"28","28","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","3","6","220842 ms"
"29","29","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","2","77008 ms"
"30","30","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","2","6","147288 ms"
